Drug_Name,Vina_Score_kcal_mol,Output_File
bictegravir,-8.283,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\bictegravir_docked.pdbqt
dantron,-8.266,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\dantron_docked.pdbqt
forodesine,-8.257,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\forodesine_docked.pdbqt
coumetarol,-8.252,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\coumetarol_docked.pdbqt
rebamipide,-8.252,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\rebamipide_docked.pdbqt
sulfaloxic_acid,-8.25,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\sulfaloxic_acid_docked.pdbqt
carprofen,-8.248,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\carprofen_docked.pdbqt
fosphenytoin,-8.232,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\fosphenytoin_docked.pdbqt
estazolam,-8.224,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\estazolam_docked.pdbqt
cyproheptadine,-8.219,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\cyproheptadine_docked.pdbqt
ubenimex,-8.218,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\ubenimex_docked.pdbqt
palonosetron,-8.216,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\palonosetron_docked.pdbqt
estradiol_benzoate,-8.212,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\estradiol_benzoate_docked.pdbqt
estriol,-8.205,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\estriol_docked.pdbqt
hydrocortisone_phosphate,-8.204,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\hydrocortisone_phosphate_docked.pdbqt
pirenoxine,-8.2,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\pirenoxine_docked.pdbqt
pexidartinib,-8.196,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\pexidartinib_docked.pdbqt
vilazodone,-8.19,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\vilazodone_docked.pdbqt
evocalcet,-8.165,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\evocalcet_docked.pdbqt
niflumic_acid,-8.164,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\niflumic_acid_docked.pdbqt
ketoprofen,-8.161,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\ketoprofen_docked.pdbqt
tibolone,-8.159,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\tibolone_docked.pdbqt
